# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=10
# for k=1.05614e-05 to 105.723 h/Mpc,
# number of wavenumbers equal to 132
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_ncdm[1]              7:d_ncdm[2]              8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime          
       6.754442450898e-02      -2.124538405234e-01      -9.734583644886e+02      -1.002113429493e+03      -5.947770968583e-01      -5.947770968582e-01      -5.947770968582e-01      -9.931425881064e+02       1.284656413721e-01       1.284656114377e-01       2.004226858987e+03       8.361334695639e-01       2.143208509634e-01      -2.994867567342e-07 
       7.070862135334e-02      -2.037075478211e-01      -1.024238033657e+03      -1.052712481605e+03      -5.544081306471e-01      -5.544081306471e-01      -5.544081306471e-01      -1.043541607829e+03       1.231740966171e-01       1.231740716960e-01       2.105424963210e+03       8.785571463450e-01       2.054922113327e-01      -2.867397292641e-07 
       7.383002130868e-02      -1.951481139685e-01      -1.069973798083e+03      -1.099451817412e+03      -5.271777868684e-01      -5.271777868687e-01      -5.271777868684e-01      -1.089914142595e+03       1.179996236106e-01       1.179996019870e-01       2.198903634825e+03       9.176012537404e-01       1.968598863860e-01      -2.747871398340e-07 
       7.693674722399e-02      -1.866503170398e-01      -1.110383959846e+03      -1.142163242143e+03      -5.168270327671e-01      -5.168270327672e-01      -5.168270327671e-01      -1.132075110170e+03       1.128656775941e-01       1.128656576824e-01       2.284326484287e+03       9.531103344638e-01       1.882959724908e-01      -2.635044447292e-07 
       8.004977955946e-02      -1.781795097963e-01      -1.145441967699e+03      -1.180819562928e+03      -5.002891295767e-01      -5.002891295768e-01      -5.002891295767e-01      -1.169997479506e+03       1.077504057865e-01       1.077503877879e-01       2.361639125857e+03       9.850611568110e-01       1.797637922786e-01      -2.527365271014e-07 
       8.318553539472e-02      -1.697668651541e-01      -1.175477367931e+03      -1.215625730881e+03      -4.662161125595e-01      -4.662161125597e-01      -4.662161125594e-01      -1.203904628772e+03       1.026716873347e-01       1.026716720503e-01       2.431251461763e+03       1.013640320962e+00       1.712929353272e-01      -2.422403630441e-07 
       8.635739650206e-02      -1.614911685772e-01      -1.201245935510e+03      -1.247084042742e+03      -4.351330495943e-01      -4.351330495945e-01      -4.351330495945e-01      -1.234336072755e+03       9.767615779984e-02       9.767614474084e-02       2.494168085485e+03       1.039299538350e+00       1.629609552227e-01      -2.318893983237e-07 
       8.957666254111e-02      -1.534625157337e-01      -1.223957528969e+03      -1.276027409036e+03      -4.244449141517e-01      -4.244449141517e-01      -4.244449141517e-01      -1.262179647354e+03       9.282941824100e-02       9.282940614312e-02       2.552054818071e+03       1.062782884160e+00       1.548770546267e-01      -2.218130714220e-07 
       9.285317110982e-02      -1.458062029145e-01      -1.245250272353e+03      -1.303613655660e+03      -4.085795108498e-01      -4.085795108499e-01      -4.085795108498e-01      -1.288662602821e+03       8.820636790606e-02       8.820635695319e-02       2.607227311320e+03       1.085119581599e+00       1.471659776196e-01      -2.121365383957e-07 
       9.619571526010e-02      -1.386457711583e-01      -1.267095554626e+03      -1.331267353252e+03      -3.745772108011e-01      -3.745772108014e-01      -3.745772108011e-01      -1.315288112161e+03       8.388100357102e-02       8.388099446288e-02       2.662534706503e+03       1.107570752078e+00       1.399510008148e-01      -2.027453670240e-07 
