#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_ncdm[1]              7:d_ncdm[2]              8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime          
       1.059387140894e-04      -1.496742673841e-02      -1.128501624020e-02      -1.128502380877e-02      -1.133826971399e-02      -1.133826971399e-02      -1.133826971399e-02      -1.129249446907e-02       6.009819601918e-01       5.997011279321e-01       2.257004761754e-02       9.567606094824e-06       9.999103329471e-01      -8.456459769072e-09 
       1.333689392599e-04      -2.364762353806e-02      -1.788482107411e-02      -1.788484007608e-02      -1.796163833888e-02      -1.796163833888e-02      -1.796163833888e-02      -1.789645802977e-02       6.009464414301e-01       5.996708727027e-01       3.576968015215e-02       1.516284175259e-05       9.998579465556e-01      -1.337688042718e-08 
       1.679015467784e-04      -3.729340073735e-02      -2.834371282936e-02      -2.834376052242e-02      -2.844643409492e-02      -2.844643409492e-02      -2.844643409492e-02      -2.836161705226e-02       6.008902227450e-01       5.996229613592e-01       5.668752104484e-02       2.402949718905e-05       9.997750089620e-01      -2.113652504487e-08 
       2.113755239188e-04      -5.864272463842e-02      -4.491719452174e-02      -4.491731417494e-02      -4.503230029908e-02      -4.503230029908e-02      -4.503230029908e-02      -4.494422275480e-02       6.008013081367e-01       5.995471223103e-01       8.983462834988e-02       3.807920201624e-05       9.996437854808e-01      -3.333809028613e-08 
       2.661060184927e-04      -9.178955151555e-02      -7.117751186986e-02      -7.117781183685e-02      -7.124050906220e-02      -7.124050906220e-02      -7.124050906220e-02      -7.121698684265e-02       6.006608535095e-01       5.994271647119e-01       1.423556236737e-01       6.033897866846e-05       9.994363700877e-01      -5.243559167883e-08 
       3.350076289118e-04      -1.426237427520e-01      -1.127800784517e-01      -1.127808296424e-01      -1.125814060537e-01      -1.125814060537e-01      -1.125814060537e-01      -1.128342930554e-01       6.004394085920e-01       5.992376479830e-01       2.255616592848e-01       9.559958763840e-05       9.991090348910e-01      -8.210686025188e-08 
       4.217496171820e-04      -2.190458343963e-01      -1.786726272524e-01      -1.786745051435e-01      -1.776137915465e-01      -1.776137915465e-01      -1.776137915465e-01      -1.787379549164e-01       6.000913224814e-01       5.989387850767e-01       3.573490102871e-01       1.514371272977e-04       9.985937138519e-01      -1.276676090214e-07 
       5.309513104849e-04      -3.302404335287e-01      -2.829978961158e-01      -2.830025781591e-01      -2.794741619123e-01      -2.794741619123e-01      -2.794741619123e-01      -2.830511546658e-01       5.995467419165e-01       5.984688555379e-01       5.660051563183e-01       2.398176275957e-04       9.977855546620e-01      -1.963231437990e-07 
       6.684280971949e-04      -4.833766212226e-01      -4.480757685065e-01      -4.480873957676e-01      -4.379457477848e-01      -4.379457477848e-01      -4.379457477848e-01      -4.480394690507e-01       5.987009431461e-01       5.977333111282e-01       8.961747915352e-01       3.796053104990e-04       9.965256659441e-01      -2.966941757688e-07 
       8.415011175159e-04      -6.748397951425e-01      -7.090494275434e-01      -7.090781350427e-01      -6.819285735088e-01      -6.819285735088e-01      -6.819285735088e-01      -7.087096189968e-01       5.974018903306e-01       5.965902163407e-01       1.418156270085e+00       6.004565338649e-04       9.945793452918e-01      -4.363853010001e-07 
       1.059387140894e-03      -8.733659142941e-01      -1.121061197207e+00      -1.121131516306e+00      -1.051622404679e+00      -1.051622404679e+00      -1.051622404679e+00      -1.119889241787e+00       5.954396286140e-01       5.948333017524e-01       2.242263032612e+00       9.488088230955e-04       9.916132666256e-01      -6.156348269477e-07 
       1.333689392599e-03      -1.001712827906e+00      -1.770202207710e+00      -1.770372788816e+00      -1.598689885675e+00      -1.598689885675e+00      -1.598689885675e+00      -1.767012031252e+00       5.925453841723e-01       5.921780718131e-01       3.540745577632e+00       1.496987921884e-03       9.871810153136e-01      -8.161119951049e-07 
